14	165.0	78.0	0.0	0.0	0.0	0.0	20.0	960.0	37.0	110.0
57	285.0	78.0	0.0	100.0	0.0	0.0	40.0	960.0	39.0	140.0
67	285.0	93.0	0.0	100.0	0.0	0.0	60.0	640.0	69.0	165.0
71	330.0	100.0	0.0	100.0	100.0	0.0	60.0	1000.0	39.0	210.0
89	285.0	84.0	0.0	0.0	0.0	0.0	20.0	740.0	35.0	210.0
103	220.0	93.0	0.0	0.0	100.0	0.0	20.0	960.0	39.0	70.0
117	220.0	93.0	0.0	0.0	0.0	0.0	60.0	1000.0	35.0	165.0
119	285.0	78.0	0.0	0.0	0.0	0.0	40.0	960.0	48.0	140.0
150	57.0	78.0	0.0	100.0	0.0	0.0	200.0	960.0	48.0	70.0
157	165.0	93.0	0.0	0.0	0.0	0.0	20.0	740.0	33.0	210.0
208	33.0	78.0	100.0	100.0	0.0	0.0	20.0	740.0	160.0	135.0
228	285.0	84.0	100.0	100.0	0.0	0.0	20.0	640.0	38.0	135.0
238	330.0	93.0	100.0	100.0	100.0	100.0	60.0	1000.0	35.0	180.0
