0	495.0	78.0	100.0	100.0	0.0	0.0	0.0	100.0	39.0	140.0
1	990.0	93.0	0.0	0.0	0.0	0.0	0.0	320.0	48.0	310.0
2	570.0	100.0	0.0	0.0	0.0	0.0	300.0	64.0	49.0	315.0
3	390.0	56.0	0.0	0.0	0.0	0.0	200.0	64.0	35.0	135.0
4	855.0	78.0	100.0	100.0	0.0	100.0	0.0	64.0	490.0	155.0
5	495.0	78.0	0.0	100.0	0.0	0.0	200.0	250.0	38.0	11.0
6	585.0	78.0	0.0	0.0	0.0	100.0	0.0	220.0	54.0	31.0
8	990.0	93.0	0.0	0.0	0.0	0.0	60.0	100.0	590.0	70.0
9	855.0	930.0	100.0	100.0	0.0	0.0	60.0	64.0	59.0	500.0
10	855.0	78.0	100.0	100.0	0.0	100.0	0.0	64.0	33.0	410.0
11	440.0	78.0	0.0	500.0	0.0	100.0	20.0	64.0	33.0	135.0
12	440.0	78.0	0.0	100.0	0.0	0.0	60.0	25.0	155.0	135.0
13	570.0	78.0	0.0	0.0	0.0	0.0	20.0	38.0	185.0	165.0
16	240.0	560.0	500.0	100.0	100.0	100.0	0.0	25.0	31.0	3.0
17	440.0	78.0	100.0	0.0	0.0	0.0	60.0	190.0	35.0	120.0
18	1000.0	100.0	0.0	100.0	0.0	100.0	0.0	100.0	31.0	45.0
21	990.0	93.0	0.0	0.0	0.0	100.0	40.0	370.0	49.0	310.0
23	990.0	84.0	100.0	100.0	100.0	0.0	0.0	100.0	39.0	155.0
26	855.0	93.0	0.0	100.0	100.0	100.0	300.0	38.0	590.0	44.0
27	330.0	56.0	500.0	0.0	0.0	0.0	80.0	38.0	32.0	105.0
28	570.0	78.0	100.0	0.0	0.0	0.0	300.0	74.0	35.0	135.0
