1,100,1,100,1,100,1,100,1,100,1,100,1,100,0
5,200,1,100,1,100,1,100,1,100,1,100,1,100,1
1,300,1,100,1,100,1,100,1,100,1,100,1,100,0
5,7000,1,100,1,100,1,100,1,100,1,100,1,100,1
1,8000,1,100,1,100,1,100,1,100,1,100,1,100,0
5,8000,1,100,1,100,1,100,1,100,1,100,1,100,1
1,90000,1,100,1,100,1,100,1,100,1,100,1,100,0
5,80000,1,100,1,100,1,100,1,100,1,100,1,100,1
1,90000,1,100,1,100,1,100,1,100,1,100,1,100,1
5,100,1,100,1,100,1,100,1,100,1,100,1,100,1
1,1000,1,100,1,100,1,100,1,100,1,100,1,100,0
5,900,1,100,1,100,1,100,1,100,1,100,1,100,1
