208,32,1,1,0,1,0,30,1405,5219,0
61,25,0,1,0,0,4,30,475,659,1
61,18,0,0,0,0,4,20,700,189,2
209,32,1,1,1,0,0,58,860,2329,3
243,32,0,0,0,0,2,35,850,1649,4
243,32,0,1,0,0,3,35,840,2149,5
363,32,0,0,0,0,3,50,980,3229,6
102,30,0,0,0,0,4,30,535,400,7
142,30,0,0,0,0,1,30,455,469,8
242,30,0,0,0,1,2,30,455,581,9
242,30,0,0,0,0,3,58,460,399,10
242,30,0,0,0,0,3,30,445,499,11
123,27,0,0,0,1,5,30,560,579,12
162,30,0,0,0,1,2,30,560,469,13
241,30,0,1,0,1,2,58,505,479,14
242,32,0,1,0,1,3,58,530,609,15
242,32,1,1,0,1,3,58,470,749,16
241,32,1,1,0,1,2,58,675,669,17
242,32,0,1,1,0,3,78,765,1129,18
162,32,0,0,0,0,4,50,765,2749,19
